frame,sharp,polyfit_variance
1.0,243.1628241941664,none
2.0,218.73435389387345,none
3.0,220.01079268374974,none
4.0,233.5756467854818,none
5.0,218.61825550927057,none
6.0,214.70419483625625,none
7.0,224.8309887612237,none
8.0,212.73756813964843,none
9.0,213.57203795962866,none
10.0,225.6956948769463,none
11.0,222.67600182020402,none
12.0,221.74915754597984,none
13.0,225.63492512596974,none
14.0,211.6544313678318,none
15.0,213.2733029724121,none
16.0,223.46277594248454,none
17.0,214.77846560058595,none
18.0,208.42021017184786,none
19.0,222.3540987847222,none
20.0,209.18483177083334,none
21.0,211.40273847384984,none
22.0,224.24993107028538,none
23.0,225.6271156885783,none
24.0,203.20877337629528,none
25.0,149.45294575178357,none
26.0,177.94720697004533,none
27.0,145.32954457194012,none
28.0,150.43438313378226,none
29.0,203.5319738606771,none
30.0,196.16498033582897,none
31.0,208.78194130791556,none
32.0,222.7164043902927,none
33.0,212.76842903578017,none
34.0,215.55419551442463,none
35.0,221.09536364593504,none
36.0,216.92128203921848,none
37.0,214.32120429416238,none
38.0,228.7209786944919,none
39.0,226.3261683424208,13.524264012985178
40.0,223.0133537082248,13.431980171173572
41.0,235.71505000796847,13.8427447840596
42.0,230.16639947492814,13.57742532979844
43.0,227.21328033023408,none
44.0,231.22663287200928,none
45.0,229.16100632985433,13.183620595633995
46.0,232.40037215101455,14.125733502174917
47.0,240.49159162326387,14.12371813045691
48.0,235.3804431396484,13.684866354895359
49.0,233.79067050509985,13.623148758074867
50.0,240.28246466318765,13.530160959322261
51.0,257.86413557925755,13.53687011028158
52.0,225.99100473615854,13.428421587766495
53.0,229.2393814425998,none
54.0,197.40214393293596,none
55.0,211.75592558983698,none
56.0,211.72789542626273,none
57.0,219.87534353027343,none
58.0,203.8221242389255,none
59.0,204.4075989581638,none
60.0,219.01626472151014,none
61.0,211.15506463606096,none
62.0,202.87771179945204,none
63.0,177.24172307332356,none
64.0,151.07647198469374,none
65.0,203.93530458984378,none
66.0,151.8121227186415,none
67.0,148.45824824879963,none
68.0,176.8114684853448,none
69.0,200.42379085218644,none
70.0,201.53123697916666,12.841739239020002
71.0,214.93091441446938,13.130690335767632
72.0,219.09242726220026,12.352837039582553
73.0,211.60829618055558,12.452263672491037
74.0,211.06197243652346,13.379405956901246
75.0,219.83016533135304,12.958418346339986
76.0,256.7912819537692,12.744324485588221
77.0,228.3032190916273,12.899524557564554
78.0,224.4966937457614,12.726930619466057
79.0,231.35461364729136,12.670299301485988
80.0,223.48977136213517,12.135791005516655
81.0,217.72354287363692,12.931938127381544
82.0,232.02980250227188,13.979425963196901
83.0,228.97586555718314,13.686033118143959
84.0,227.98046280907525,13.399490929636638
85.0,234.7966760455662,13.019828226241593
86.0,228.9730229816013,13.378070145209657
87.0,230.79422687971325,13.942034871547003
88.0,237.30505798339843,none
89.0,228.4277045077854,12.927441496931824
90.0,227.8514726384481,12.80444415156918
91.0,235.57139642944335,13.455472225137536
92.0,228.0804052719116,12.776049751802868
93.0,227.8962754964193,12.937687908168154
94.0,234.18165547264942,13.449628518984671
95.0,227.77949670138887,13.232464406951417
96.0,224.7379235214233,12.83860753062423
97.0,232.5367254224989,13.439129104918205
98.0,229.72076312866207,13.531678725568394
99.0,228.8181282957289,13.430706983468637
100.0,230.68323689626058,13.926969485844735
101.0,262.0349801974826,13.321064087801831
102.0,228.83713245290122,13.036465252956816
103.0,224.7039088607788,13.393008250800094
104.0,239.42817449120417,13.769334074722606
105.0,230.72901573876277,none
106.0,234.1204811114841,12.99052794099112
107.0,239.83464929945205,13.624421218786528
108.0,235.30552529229055,13.806109724271497
109.0,229.9910100884332,none
110.0,228.23115509016245,none
111.0,152.5588418577406,none
112.0,199.6657829752604,none
113.0,170.58831922047932,none
114.0,142.7734745915731,none
115.0,161.41733380109997,none
116.0,207.68109115600586,none
117.0,209.06422340884737,none
118.0,217.19645595957437,13.898154244145921
119.0,230.487568359375,14.065332476540993
120.0,216.10338465101455,13.705163068939559
